Organization Name,Organization Name URL,Category Groups,Headquarters Location,Description,CB Rank (Organization),Founded Date,Operating Status,Closed Date,Company Type,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Exits,Number of Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Type,Last Equity Funding Amount,Last Equity Funding Type,Total Equity Funding Amount,Total Funding Amount,Number of Lead Investors,Number of Investors,Acquisition Status,IPO Status,IPO Date,Delisted Date,Valuation at IPO,Money Raised at IPO
Amyris Biotechnologies,https://www.crunchbase.com/organization/amyris-biotechnologies,"Energy, Science and Engineering, Sustainability","Emeryville, California, United States","Amyris Biotechnologies creates renewable products, focusing on fuels and chemicals.","4,201",2003,Active,,,,,,,,,4,251-500,13,IPO,"Jan 17, 2018","$25,000,000",Grant,"$5,000,000",Post-IPO Equity,"$397,586,398","$471,886,398",4,14,Made Acquisitions,Public,"Sep 28, 2010",,"$650,000,000","$84,800,000"
One Kings Lane,https://www.crunchbase.com/organization/one-kings-lane,"Commerce and Shopping, Consumer Goods, Internet Services","San Francisco, California, United States","One Kings Lane is an e-commerce platform that offers members access to designer home décor, furnishings, accessories and gifts.","4,286","Dec 2, 2009",Active,,For Profit,,,,,,,2,501-1000,6,M&A,"Aug 1, 2014",,Secondary Market,"$112,000,000",Series E,"$225,000,000","$225,000,000",5,10,"Made Acquisitions, Was Acquired",Private,,,,
Kenandy,https://www.crunchbase.com/organization/kenandy,"Consumer Electronics, Hardware, Software","Redwood City, California, United States","Revolutionizing ERP for business innovation. Built on Salesforce, Kenandy empowers customers to map their ERP to their business processes.","4,308",2010,Active,,For Profit,,,,,,,1,101-250,3,M&A,"Mar 17, 2016","$11,500,000",Series B,"$11,500,000",Series B,"$55,000,000","$55,000,000",2,5,Was Acquired,Private,,,,
MyFitnessPal,https://www.crunchbase.com/organization/myfitnesspal,"Apps, Health Care, Software, Sports","Baltimore, Maryland, United States","MyFitnessPal offers a mobile app and website for people to track, learn, communicate and improve their health and wellness.","4,920",2005,Active,,For Profit,,,,,,,2,51-100,1,M&A,"Aug 13, 2013","$18,000,000",Series A,"$18,000,000",Series A,"$18,000,000","$18,000,000",1,3,"Made Acquisitions, Was Acquired",Private,,,,
ADOR,https://www.crunchbase.com/organization/ador,"Clothing and Apparel, Commerce and Shopping, Content and Publishing, Design, Internet Services, Media and Entertainment, Real Estate","Seattle, Washington, United States","Lockerz is a social commerce website where people can share their views on fashion, beauty, decor and entertainment.","5,236","Feb 1, 2009",Active,,,,,,,,,1,1-10,5,M&A,"Oct 31, 2013","$9,000,000",Series D,"$9,000,000",Series D,"$56,499,998","$56,499,998",2,5,"Made Acquisitions, Was Acquired",Private,,,,
SimpliVity,https://www.crunchbase.com/organization/simplivity,"Hardware, Information Technology, Internet Services, Software","Westborough, Massachusetts, United States","SimpliVity offers Omnicube™, an IT infrastructure platform that provides enterprise computing, storage services, and network functionality.","5,516",2009,Active,,,,,,,,,1,501-1000,5,M&A,"Mar 19, 2015","$175,000,000",Series D,"$175,000,000",Series D,"$276,000,000","$276,500,000",5,8,Was Acquired,Private,,,,
Silver Spring Networks,https://www.crunchbase.com/organization/silver-spring-networks,"Energy, Hardware, Internet Services, Sustainability","Redwood City, California, United States","Silver Spring Networks offers Smart Energy Platform™, enabling utilities to improve energy efficiencies, enhance services, and reduce costs.","5,839",2002,Active,,For Profit,,,,,,,5,501-1000,12,M&A,"Mar 27, 2013","$11,999,977",Post-IPO Equity,"$11,999,977",Post-IPO Equity,"$308,928,976","$373,428,976",2,10,"Made Acquisitions, Was Acquired",Public,"Mar 13, 2013",,"$771,775,537","$80,750,000"
Aggregate Knowledge,https://www.crunchbase.com/organization/aggregateknowledge,"Advertising, Artificial Intelligence, Data and Analytics, Sales and Marketing, Software","San Mateo, California, United States",Aggregate Knowledge is a media intelligence company that enables advertisers to reach the highest performing customers on a single platform.,"5,937","Jan 1, 2006",Active,,For Profit,,,,,,,,10001+,8,M&A,"Apr 1, 2013","$3,266,100",Venture - Series Unknown,"$3,266,100",Venture - Series Unknown,"$63,724,450","$74,311,925",2,7,"Made Acquisitions, Was Acquired",Private,,,,
IronPlanet,https://www.crunchbase.com/organization/ironplanet,"Agriculture and Farming, Commerce and Shopping, Real Estate, Transportation","Pleasanton, California, United States",IronPlanet is an online marketplace for used heavy equipments.,"6,119",1999,Active,,For Profit,,,,,,,2,251-500,8,M&A,"Aug 23, 2016","$17,968,672",Series E,"$17,968,672",Series E,"$92,703,847","$147,703,847",4,12,"Made Acquisitions, Was Acquired",Private,,,,
Mandiant,https://www.crunchbase.com/organization/mandiant,"Information Technology, Privacy and Security","Alexandria, Virginia, United States","Mandiant, an information security company, provides incident response and computer forensic solutions and services.","6,346",2004,Active,,,,,,,,,1,251-500,1,M&A,"Jul 22, 2011","$70,000,000",Private Equity,"$70,000,000",Private Equity,"$70,000,000","$70,000,000",,3,"Made Acquisitions, Was Acquired",Private,,,,
Veracyte,https://www.crunchbase.com/organization/veracyte,"Biotechnology, Health Care, Science and Engineering","South San Francisco, California, United States",Veracyte develops molecular diagnostic tests to improve patient outcomes and lower healthcare costs.,"6,380",2008,Active,,,,,,,,,1,51-100,5,IPO,"Mar 29, 2016","$45,000,000",Post-IPO Debt,"$28,000,000",Series C,"$71,250,000","$116,250,000",3,6,Made Acquisitions,Public,"Oct 30, 2013",,,"$65,000,000"
Timeful,https://www.crunchbase.com/organization/timeful,"Artificial Intelligence, Data and Analytics, Science and Engineering, Software","Mountain View, California, United States",Timeful is a technology company dedicated to reinventing the way that people manage their most precious resource: time.,"6,443",2012,Closed,"Dec 11, 2015",,,,,,,,3,11-50,1,M&A,"May 16, 2014","$7,000,000",Series A,"$7,000,000",Series A,"$7,000,000","$7,000,000",1,6,Was Acquired,Private,,,,
Apteligent,https://www.crunchbase.com/organization/crittercism,"Apps, Information Technology, Mobile, Software","San Francisco, California, United States","Apteligent is the leader in mobile app intelligence and helps you build better apps, faster.","6,472",2011,Active,,For Profit,,,,,,,3,51-100,5,M&A,"May 4, 2014","$30,000,000",Series C,"$30,000,000",Series C,"$48,720,000","$48,720,000",2,10,Was Acquired,Private,,,,
Klout,https://www.crunchbase.com/organization/klout,"Data and Analytics, Internet Services, Media and Entertainment","San Francisco, California, United States",Klout is an application that measures and ranks its users according to online social influence by using social media analytics.,"6,803","Aug 1, 2008",Active,,,,,,,,,2,101-250,10,M&A,"Aug 23, 2013",,Series C,,Series C,"$40,000,000","$40,000,000",1,24,"Made Acquisitions, Was Acquired",Private,,,,
Buddybuild,https://www.crunchbase.com/organization/buddybuild,"Mobile, Software","Vancouver, British Columbia, Canada",Buddybuild is a Vancouver-based app tools company focused on continuous integration and debugging tools.,"6,920",2015,Active,,For Profit,,,,,,,3,11-50,2,M&A,"May 25, 2016","$7,600,000",Series A,"$7,600,000",Series A,"$8,800,000","$8,800,000",1,8,Was Acquired,Private,,,,
Level Money,https://www.crunchbase.com/organization/level-money,"Financial Services, Lending and Investments, Payments, Software","San Francisco, California, United States",Level Money provides you with a simple and clear picture of your finances.,"7,506","Jun 22, 2012",Closed,"Sep 1, 2017",For Profit,,,,,,,2,1-10,1,M&A,"Oct 10, 2013","$5,000,000",Series A,"$5,000,000",Series A,"$5,000,000","$5,000,000",1,4,Was Acquired,Private,,,,
Five Prime Therapeutics,https://www.crunchbase.com/organization/five-prime-therapeutics,"Biotechnology, Health Care, Science and Engineering","San Francisco, California, United States",FivePrime is dis­cov­er­ing and devel­op­ing novel ther­a­peu­tic pro­teins and anti­bod­ies,"7,651",2002,Active,,For Profit,,,,,,,1,51-100,7,IPO,"Mar 26, 2014","$21,040,488",Post-IPO Equity,"$21,040,488",Post-IPO Equity,"$155,040,487","$155,040,487",,11,,Public,"Sep 18, 2013",,"$208,218,491","$62,400,000"
True North Therapeutics,https://www.crunchbase.com/organization/true-north-therapeutics,"Biotechnology, Health Care, Science and Engineering","South San Francisco, California, United States",True North Therapeutics is a pioneering biotechnology company selectively inhibiting the Complement pathway for diseases.,"7,693",2013,Active,,For Profit,,,,,,,1,11-50,4,M&A,"Oct 18, 2016","$45,000,000",Series D,"$45,000,000",Series D,"$142,000,000","$142,000,000",4,12,Was Acquired,Private,,,,
CareDx,https://www.crunchbase.com/organization/xdx,"Biotechnology, Health Care, Science and Engineering, Sports","Brisbane, California, United States",XDx is a novel mol­e­c­u­lar diagnos­tics com­pany.,"7,753",2000,Active,,For Profit,,,,,,,1,51-100,14,IPO,"Mar 15, 2017","$25,000,000",Post-IPO Debt,"$22,169,135",Post-IPO Equity,"$166,788,264","$227,485,556",2,15,Made Acquisitions,Public,"Jul 25, 2014",,"$168,000,000","$40,000,000"
ZAI Lab,https://www.crunchbase.com/organization/zai-lab,"Health Care, Information Technology","Shanghai, Shanghai, China",Zai is built on a vision that China would be the next destination for the pharmaceutical and healthcare industry,"7,787",2013,Active,,For Profit,,,1,1,,,1,11-50,4,IPO,"Jun 28, 2017","$30,000,000",Series C,"$30,000,000",Series C,"$160,000,000","$160,000,000",3,9,,Public,"Sep 20, 2017",,"$1,400,000,000","$165,000,000"
PernixData,https://www.crunchbase.com/organization/pernixdata,"Hardware, Information Technology, Software","San Jose, California, United States",PernixData offers software that virtualizes server-side flash to enable scale-out storage performance.,"7,981",2012,Active,,For Profit,,,,,,,2,101-250,3,M&A,"Aug 20, 2014","$35,000,000",Series C,"$35,000,000",Series C,"$62,000,000","$62,000,000",2,9,Was Acquired,Private,,,,
Intersect ENT,https://www.crunchbase.com/organization/intersect,Health Care,"Menlo Park, California, United States",Intersect ENT provides therapy solutions that enable ENT physicians to improve the quality of life of patients.,"8,388",2003,Active,,For Profit,,,,,,,1,251-500,5,IPO,"Feb 26, 2013","$18,309,546",Venture - Series Unknown,"$18,309,546",Venture - Series Unknown,"$102,844,131","$102,844,131",1,6,,Public,"Jul 24, 2014",,,"$55,000,000"
TradeHero,https://www.crunchbase.com/organization/tradehero,"Financial Services, Lending and Investments, Mobile, Software","Singapore, Central Region, Singapore","TradeHero, a free stock market simulation app, draws data from stock exchanges to create an unrivalled global social investment network.","8,579",2012,Active,,For Profit,,,,,,,1,51-100,3,M&A,"Jun 30, 2014",,Non-equity Assistance,"$10,000,000",Series A,"$10,464,859","$10,464,859",2,4,Was Acquired,Private,,,,
Electronic Arts,https://www.crunchbase.com/organization/electronicarts,"Consumer Electronics, Gaming, Hardware, Software","Redwood City, California, United States","Electronic Arts delivers games, content, and online services for internet-connected consoles, PCs, mobile phones, and tablets.","8,679","Jan 1, 1982",Active,,For Profit,,,1,1,,1,2,5001-10000,2,IPO,"Dec 1, 1982","$2,000,000",Series A,"$2,000,000",Series A,"$2,200,000","$2,200,000",1,4,Made Acquisitions,Public,"Oct 6, 1989",,,
Borqs,https://www.crunchbase.com/organization/borqs,"Internet Services, Media and Entertainment, Mobile, Platforms, Software","Beijing, Beijing, China",Borqs International Holding Company is a high-tech company providing intelligent terminal software and end-to-end service platforms.,"8,730","Sep 1, 2007",Active,,,,,,,,,2,501-1000,6,M&A,"Mar 13, 2017","$10,000,000",Series E,"$10,000,000",Series E,"$51,972,725","$51,972,725",4,8,Was Acquired,Private,,,,
Cell Design Labs,https://www.crunchbase.com/organization/cell-design-labs,"Biotechnology, Health Care, Science and Engineering","San Francisco, California, United States",Cell Design Labs is a biotherapeutics company,"8,974",2015,Active,,For Profit,,,,,,,3,11-50,1,M&A,"Jun 2, 2016","$34,400,000",Venture - Series Unknown,"$34,400,000",Venture - Series Unknown,"$34,400,000","$34,400,000",1,5,Was Acquired,Private,,,,
Atara Biotherapeutics,https://www.crunchbase.com/organization/atara-biotherapeutics,"Biotechnology, Health Care, Science and Engineering","Thousand Oaks, California, United States",Atara Biotherapeutics is a drug development company focused on developing innovative therapies for patients with debilitating diseases.,"9,254",2012,Active,,,,,,,,,1,11-50,5,IPO,"Jan 13, 2014","$6,311,156",Venture - Series Unknown,"$6,311,156",Venture - Series Unknown,"$61,819,204","$61,819,204",2,7,,Public,"Oct 24, 2014",,,
Storenvy,https://www.crunchbase.com/organization/storenvy,"Commerce and Shopping, Internet Services, Media and Entertainment, Software","San Francisco, California, United States","Storenvy, a community of online stores, provides an e-commerce network enabling users to shop across multiple stores.","9,528","Aug 1, 2010",Active,,,,,,,,,3,11-50,2,M&A,"Feb 12, 2013","$5,000,000",Series A,"$5,000,000",Series A,"$6,525,000","$6,525,000",3,11,Was Acquired,Private,,,,
Alta Devices,https://www.crunchbase.com/organization/alta-devices,"Energy, Manufacturing, Mobile, Natural Resources, Sustainability","Sunnyvale, California, United States",Alta Devices manufactures solar photovoltaic applications for mobile devices that enable the conversion of light into electricity.,"9,676",2007,Active,,,,,,,,,2,51-100,1,M&A,"Mar 9, 2011","$72,000,000",Private Equity,"$72,000,000",Private Equity,"$72,000,000","$72,000,000",,7,Was Acquired,Private,,,,
OUYA,https://www.crunchbase.com/organization/ouya,"Consumer Electronics, Gaming, Hardware, Media and Entertainment","Los Angeles, California, United States",OUYA develops and delivers open video game consoles for televisions.,"9,801","Mar 23, 2012",Active,,For Profit,,,,,,,2,11-50,3,M&A,"Jan 29, 2015","$10,000,000",Venture - Series Unknown,"$10,000,000",Venture - Series Unknown,"$25,000,000","$33,600,000",2,8,Was Acquired,Private,,,,
Choose Energy,https://www.crunchbase.com/organization/choose-energy,"Energy, Information Technology","San Francisco, California, United States",Choose Energy is an internet utilities search engine that allows the user to find and compare prices.,"9,882",Oct 1998,Active,,For Profit,,,,,,,1,11-50,4,M&A,"Mar 15, 2015","$14,200,000",Series C,"$14,200,000",Series C,"$25,700,000","$25,700,000",3,9,"Made Acquisitions, Was Acquired",Private,,,,
Invuity,https://www.crunchbase.com/organization/invuity,"Biotechnology, Health Care, Science and Engineering","San Francisco, California, United States",Invuity develops illumination and visualization products for minimally invasive surgical field applications.,"10,221",2004,Active,,For Profit,,,,,,,2,11-50,7,IPO,"Feb 13, 2015","$20,000,000",Private Equity,"$20,000,000",Private Equity,"$106,999,999","$106,999,999",4,6,,Public,"Jun 15, 2015",,"$207,000,000","$47,800,000"
Apcera,https://www.crunchbase.com/organization/apcera,"Hardware, Information Technology, Internet Services, Privacy and Security, Software","San Francisco, California, United States",The Apcera cloud platform helps enterprises innovate at speed with full confidence and trust.,"10,261","Mar 1, 2012",Active,,For Profit,,,,,,,1,101-250,3,M&A,"Sep 23, 2014",,Venture - Series Unknown,,Venture - Series Unknown,"$7,200,000","$7,200,000",,5,Was Acquired,Private,,,,
Apperian,https://www.crunchbase.com/organization/apperian,"Mobile, Platforms, Software","Boston, Massachusetts, United States",Apperian is the mobile app management (MAM®) company.,"10,773",2009,Active,,For Profit,,,,,,,3,51-100,6,M&A,"Sep 9, 2015","$12,000,000",Series C,"$12,000,000",Series C,"$39,400,000","$39,400,000",3,7,Was Acquired,Private,,,,
Fleksy,https://www.crunchbase.com/organization/fleksy,"Hardware, Information Technology, Mobile, Software","San Francisco, California, United States",Fleksy is a software keyboard designed to support fast typing on smartphones.,"11,125","May 18, 2011",Active,,For Profit,,,,,,,2,11-50,3,M&A,"Oct 28, 2014","$2,000,000",Venture - Series Unknown,"$2,000,000",Venture - Series Unknown,"$5,900,000","$5,900,000",,9,Was Acquired,Private,,,,
41st Parameter,https://www.crunchbase.com/organization/41st-parameter,"Commerce and Shopping, Privacy and Security","San Jose, California, United States",41st Parameter provides solutions to reduce fraud losses to make the internet a safer place to conduct business.,"11,385",2004,Active,,,,,,,,,1,51-100,5,M&A,"Apr 11, 2012","$13,000,000",Series D,"$13,000,000",Series D,"$42,414,570","$42,414,570",3,7,Was Acquired,Private,,,,
Segway,https://www.crunchbase.com/organization/segway,"Hardware, Manufacturing, Science and Engineering, Software, Transportation","Bedford, New Hampshire, United States","Segway develops and manufactures a personal transporter, a two-wheeled and self-balancing electric vehicle.","11,526",2001,Active,,For Profit,,,,,,,,11-50,4,M&A,"Apr 16, 2009","$40,000",Venture - Series Unknown,"$40,000",Venture - Series Unknown,"$166,040,000","$166,040,000",,3,Was Acquired,Private,,,,
Wello,https://www.crunchbase.com/organization/wello,"Education, Health Care, Sports","San Francisco, California, United States",Wello is an online platform offering live fitness training over two-way video.,"11,557",2011,Active,,For Profit,,,,,,,2,1-10,3,M&A,"Jan 8, 2013",,Seed,,Seed,"$1,000,000","$1,000,000",,9,Was Acquired,Private,,,,
Orexigen Therapeutics,https://www.crunchbase.com/organization/orexigen-therapeutics,"Biotechnology, Health Care, Science and Engineering","La Jolla, California, United States",Orexigen Therapeutics is a biopharmaceutical company focused on the treatment of obesity.,"11,638",2002,Active,,For Profit,,,,,,,1,51-100,5,IPO,"Mar 29, 2016","$165,000,000",Post-IPO Equity,"$165,000,000",Post-IPO Equity,"$301,000,000","$301,000,000",3,10,,Public,"Apr 26, 2007",,,"$84,000,000"
Clean Power Finance,https://www.crunchbase.com/organization/clean-power-finance,"Energy, Financial Services, Sustainability","San Francisco, California, United States",Clean Power Finance offers an online B2B marketplace that connects the solar industry with financing opportunities and solar sales software.,"11,866",2007,Active,,For Profit,,,,,,,2,51-100,5,M&A,"Sep 1, 2014",,Secondary Market,,Series C,"$65,600,000","$65,600,000",4,7,Was Acquired,Private,,,,
EdeniQ,https://www.crunchbase.com/organization/edeniq,"Agriculture and Farming, Biotechnology, Energy, Science and Engineering","Omaha, Nebraska, United States",Edeniq is a biomaterials and sustainable fuels innovator processing low-cost cellulosic sugars and ethanol.,"12,020",2008,Active,,,,,,,,,1,51-100,9,M&A,"Jun 19, 2017","$5,000,000",Venture - Series Unknown,"$5,000,000",Venture - Series Unknown,"$115,670,000","$123,670,000",6,17,Was Acquired,Private,,,,
Crescendo Bioscience,https://www.crunchbase.com/organization/crescendo-bioscience,"Biotechnology, Health Care, Science and Engineering","South San Francisco, California, United States",Crescendo Bioscience develops diagnostic tools to provide rheumatologists with clinical insights to autoimmune and inflammatory disease.,"12,136",2002,Active,,For Profit,,,,,,,2,51-100,6,M&A,"Jan 3, 2013","$28,000,000",Series D,"$28,000,000",Series D,"$141,682,003","$166,682,003",5,5,Was Acquired,Private,,,,
Flexus Biosciences,https://www.crunchbase.com/organization/flexus-biosciences,"Biotechnology, Health Care, Science and Engineering","San Carlos, California, United States",Flexus is a privately-held biopharmaceutical company focused on the creation,"12,282",2013,Active,,For Profit,,,,,,,1,11-50,3,M&A,"Mar 20, 2015","$15,200,000",Venture - Series Unknown,"$15,200,000",Venture - Series Unknown,"$66,200,000","$66,200,000",1,3,Was Acquired,Private,,,,
NuVasive,https://www.crunchbase.com/organization/nuvasive,"Biotechnology, Health Care, Science and Engineering","San Diego, California, United States",NuVasive is a medical device company developing minimally disruptive surgical products and procedurally integrated solutions for the spine.,"12,532",1997,Active,,,,,,,,,1,1001-5000,3,IPO,"Oct 19, 2011","$40,462,984",Post-IPO Equity,"$40,462,984",Post-IPO Equity,"$65,262,984","$65,262,984",,5,Made Acquisitions,Public,"May 13, 2004",,"$253,000,000","$71,500,000"
iPierian,https://www.crunchbase.com/organization/ipierian,"Biotechnology, Health Care, Science and Engineering","South San Francisco, California, United States","iPierian is a drug discovery platform that develops therapies for neurodegenerative diseases such as SMA, ALS, and Parkinson’s.","12,860",2007,Active,,,,,,,,,2,11-50,5,M&A,"Sep 4, 2013","$30,000,000",Venture - Series Unknown,"$30,000,000",Venture - Series Unknown,"$76,969,000","$80,669,000",3,8,"Made Acquisitions, Was Acquired",Private,,,,
PiCloud,https://www.crunchbase.com/organization/picloud,"Internet Services, Software","San Francisco, California, United States","PiCloud provides batch processing, high performance computing, and scientific computing solutions to their clients.","13,168",2009,Active,,,,,,,,,2,11-50,1,M&A,"Nov 8, 2010","$1,400,000",Seed,"$1,400,000",Seed,"$1,400,000","$1,400,000",,4,Was Acquired,Private,,,,
Navigenics,https://www.crunchbase.com/organization/navigenics,"Biotechnology, Community and Lifestyle, Health Care, Science and Engineering","Foster City, California, United States",Navigenics is a personal genomics company that uses genetic testing to help people determine their individual risk for health conditions.,"13,301",2006,Active,,For Profit,,,,,,,2,11-50,2,M&A,"Feb 4, 2010","$18,000,000",Series C,"$18,000,000",Series C,"$43,000,000","$43,000,000",2,5,Was Acquired,Private,,,,
Spinal Modulation,https://www.crunchbase.com/organization/spinal-modulation,"Biotechnology, Health Care, Science and Engineering","Menlo Park, California, United States",Spinal Modulation is a medical device company developing spinal cord neurostimulator systems for the treatment of chronic intractable pain.,"13,465",2004,Active,,,,,,,,,1,51-100,5,M&A,"Jun 7, 2013","$45,000,000",Series E,"$45,000,000",Series E,"$109,400,000","$111,270,388",1,10,Was Acquired,Private,,,,
